음식이름,영양성분,함유량
안심스테이크,인,"1,016.45mg"
안심스테이크,지질,108.98g
안심스테이크,철분,15.36mg
안심스테이크,칼륨,"3,054.65mg"
안심스테이크,칼슘,153.00mg
안심스테이크,콜레스테롤,334.20mg
마요네즈,베타카로틴,0.00㎍
마요네즈,니아신,0.10mg
마요네즈,나트륨,551.00mg
마요네즈,단백질,1.90g
마요네즈,당질,2.30g
마요네즈,레티놀,0.00㎍
마요네즈,비타민 A,15.00㎍RE
마요네즈,비타민 B,60.01mg
마요네즈,비타민 C,1.20mg
마요네즈,비타민 E,11.10mg
마요네즈,식이섬유,0.00g
마요네즈,아연,0.16mg
마요네즈,엽산,0.00㎍
마요네즈,인,33.00mg
마요네즈,지질,70.90g
마요네즈,철분,0.80mg
마요네즈,칼륨,21.00mg
마요네즈,칼슘,21.00mg
마요네즈,콜레스테롤,96.00mg
카레,베타카로틴,"5,529.14㎍"
카레,니아신,2.12mg
카레,나트륨,183.54mg
카레,단백질,59.81g
카레,당질,195.20g
카레,레티놀,219.66㎍
카레,비타민 A,15.67㎍RE
카레,비타민 B,"61,138.34mg"
카레,비타민 C,"6,108.99mg"
카레,비타민 E,216.50mg
카레,식이섬유,23.41g
카레,아연,52.33mg
카레,엽산,230.00㎍
카레,인,2.12mg
카레,지질,73.86g
카레,철분,43.03mg
카레,칼륨,17.55mg
카레,칼슘,779.78mg
카레,콜레스테롤,0.61mg
무쌈말이,베타카로틴,"7,857.90㎍"
무쌈말이,니아신,15.41mg
무쌈말이,나트륨,"5,927.74mg"
무쌈말이,단백질,63.61g
무쌈말이,당질,41.31g
무쌈말이,레티놀,177.00㎍
무쌈말이,비타민 A,"1,486.50㎍RE"
무쌈말이,비타민 B,61.83mg
무쌈말이,비타민 C,57.46mg
무쌈말이,비타민 E,8.56mg
무쌈말이,식이섬유,15.18g
무쌈말이,아연,7.88mg
무쌈말이,엽산,92.50㎍
무쌈말이,인,780.50mg
무쌈말이,지질,55.64g
무쌈말이,철분,11.59mg
무쌈말이,칼륨,"1,937.54mg"
무쌈말이,칼슘,300.52mg
무쌈말이,콜레스테롤,603.00mg
고추장멸치볶음,베타카로틴,"1,080.33㎍"
고추장멸치볶음,니아신,6.60mg
고추장멸치볶음,나트륨,"2,147.00mg"
고추장멸치볶음,단백질,28.98g
고추장멸치볶음,당질,23.30g
